date,t2m,value
2024-04-01,28.436407851093236,30.02039603960396
2024-04-02,26.770554282572334,31.100243902439022
2024-04-03,28.358543152949323,23.76365269461078
2024-04-04,22.718964167343245,20.875634218289086
2024-04-05,26.55359008840844,28.317927631578947
2024-04-06,25.468781020748736,21.98741935483871
2024-04-07,28.449787766684096,22.521486486486484
2024-04-08,28.47495968680795,20.971
2024-04-09,24.300821377280272,20.640119760479042
2024-04-10,24.916668137422107,30.420059347181006
2024-04-11,25.112521351099247,20.664281609195402
2024-04-12,30.904613931887297,18.17944117647059
2024-04-13,23.214236913778564,19.393154761904764
2024-04-14,24.075267824053412,21.230402298850574
2024-04-15,28.574213218615796,27.586893203883495
2024-04-16,26.23868208043922,29.524342105263155
2024-04-17,28.439656093043254,27.866029411764707
2024-04-18,25.764985206464246,29.86076923076923
2024-04-19,25.430267100020842,28.834893617021276
2024-04-20,26.558092230659213,29.542264150943396
2024-04-21,24.712880387523,30.591549295774648
2024-04-22,26.894349840727386,30.286373626373624
2024-04-23,24.7566691657492,28.798285714285715
2024-04-24,28.03497235857924,28.375
